App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
www.echo-news.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",168384706,UK General Market
www.oxfordmail.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",165957063,UK General Market
www.edinburghlive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",165818665,UK General Market
www.transfermarkt.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",165128389,UK General Market
www.hulldailymail.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",164166805,UK General Market
www.thetimes.com,,Digital Video,white,National News,"Streaming, Digital Video",158641022,UK General Market
www.derbytelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",157243745,UK General Market
www.dailypost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",154608809,UK General Market
www.swindonadvertiser.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",149915934,UK General Market
www.theboltonnews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",146033286,UK General Market
inews.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",143515573,UK General Market
www.southwalesargus.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",143148323,UK General Market
lifeintheuktestweb.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",142285059,UK General Market
www.lancashiretelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",141319144,UK General Market
www.eadt.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",136353622,UK General Market
www.thesalarycalculator.co.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",131187172,UK General Market
www.worcesternews.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",130356387,UK General Market
www.footballwebpages.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",128642875,UK General Market
www.nme.com,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",121837631,UK General Market
www.marieclaire.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",119518190,UK General Market
www.yorkpress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",119512212,UK General Market
news.ohmymag.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",118592999,UK General Market
www.glasgowlive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",117457470,UK General Market
www.dorsetecho.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",114101339,UK General Market
www.fourfourtwo.com,,Digital Video,white,Sports & Football,"Streaming, Digital Video",101969143,UK General Market
www.warringtonguardian.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",100224454,UK General Market
www.newsandstar.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",96536353,UK General Market
www.owlstalk.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",94331360,UK General Market
www.rangersnews.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",91501663,UK General Market
www.newsshopper.co.uk,,Digital Video,white,Shopping & Deals,"Streaming, Digital Video",88513865,UK General Market
www.somersetlive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",81898380,UK General Market
www.countypress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",75157445,UK General Market
www.eveningnews24.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",73571852,UK General Market
www.thestar.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",71735781,UK General Market
www.gazette-news.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",70243875,UK General Market
www.babycentre.co.uk,,Digital Video,white,Parenting & Family,"Streaming, Digital Video",69821989,UK General Market
hellorayo.co.uk,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",68425725,UK General Market
www.freebmd.org.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",66722910,UK General Market
www.watfordobserver.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",65627691,UK General Market
www.yorkshireeveningpost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",62328508,UK General Market
app.telegraph.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",61005420,UK General Market
www.themag.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",60393901,UK General Market
www.huffingtonpost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",59468068,UK General Market
www.readingchronicle.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",59080304,UK General Market
centredevils.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",57953301,UK General Market
games.dailymail.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",57174513,UK General Market
